track_id,track_name,artist_id,artist_name_x,album_id,duration,release_date,popularity_x,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,total_followers,genres,popularity_y,release_year,mood_label
2IMODbij0lZ5CuAjZi0IDE,Sila,0jKQrxK2zHqxyOAyIMrUQt,SUD,0qwujayb77utSpftsXjdP3,326000,2015-07-31,61,0.635,0.376,9.0,-6.1,1.0,0.0457,0.0104,0.0,0.109,0.28,124.57,395696,"['opm', 'pinoy rock']",55,2015,2.0
0YyM8aEdbjGfLWPn6fdcn7,Pasensya Ka Na,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,38jqi8VvSax4miNL2cacD1,241029,2015-04-08,39,0.696,0.262,11.0,-15.073,1.0,0.031,0.519,0.0,0.0669,0.265,84.007,2263543,"['opm', 'pinoy rock']",64,2015,2.0
6NFKf8vBApSvtzkapYmnVR,Tadhana,3wbCeEPAW6po7J46netxMT,Up Dharma Down,4SjshYHT8OeSHB6zun2Hxx,222446,2012-12-07,67,0.6859999999999999,0.322,6.0,-13.2,1.0,0.0369,0.165,0.0296,0.0809,0.511,155.982,776570,"['opm', 'pinoy indie', 'pinoy reggae', 'pinoy rock', 'pop rock']",57,2012,3.0
6M21eWbEw74XDdoQsNIinq,Malaya (Camp Sawi Original Motion Picture Soundtrack),0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,52xu8EP3ABmpNk0LUzF3ih,254249,2017-09-18,56,0.374,0.125,7.0,-14.847,1.0,0.0383,0.852,4.66e-06,0.321,0.108,114.694,6457183,['opm'],70,2017,1.0
3T8yMLawoliJaN1hAGFFmv,Sigurado,3wbCeEPAW6po7J46netxMT,Up Dharma Down,5bRwSxYckOjIw3oISF6MQk,339661,2017-01-02,31,0.757,0.669,11.0,-8.812999999999997,1.0,0.0385,0.295,0.0271,0.111,0.963,113.01,776570,"['opm', 'pinoy indie', 'pinoy reggae', 'pinoy rock', 'pop rock']",57,2017,4.0
5QVuf1MpdzFtFoJGwcKosa,Stay - On the Wings of Love Teleserye Theme,1vg8YXdgvLLPPeXZkM7g5W,Daryl Ong,0YOtu6QNH83HIjdWWI30qr,262086,2016-02-17,56,0.562,0.281,7.0,-8.812999999999997,1.0,0.0296,0.841,0.0,0.112,0.306,91.961,532395,['opm'],51,2016,2.0
2XYb0tB6gqXObZqNsAoMYk,Paasa - T.A.N.G.A.,0DnjaQqb436AH1idffI6CQ,Yeng Constantino,6jojHOgC3f8MNsBBW9ta4D,239226,2016-10-03,50,0.74,0.604,0.0,-5.245,0.0,0.103,0.423,1.75e-06,0.243,0.32299999999999995,140.065,2086047,['opm'],60,2016,2.0
01YEqVPCm0vqRLA9w43bic,Hanggang Kailan,1t2caVgyabZrVDAlmMGraV,Michael Pangilinan,2fI8PsKYLPMt9Gv4NVrtjk,230453,2016-08-19,59,0.404,0.174,9.0,-10.192,1.0,0.0312,0.893,0.0,0.0977,0.324,87.63600000000002,1338457,['opm'],58,2016,2.0
2PcbtMoqOlGSzOfyJlkB06,Your Love - Dolce Amore Teleserye Theme,4BNWanhw4AjSXjBm9L1Jzy,Juris,6f5fch2BNaoKPL9E1oPmQI,250803,2016-01-01,59,0.52,0.309,2.0,-12.039,1.0,0.0534,0.597,0.0,0.102,0.177,150.09799999999996,602775,['opm'],58,2016,1.0
6k3b9NQnivP9wUhA7PgbOU,To Love Again,1vg8YXdgvLLPPeXZkM7g5W,Daryl Ong,5bKviOwxDPC7K25O9Ryxbq,290680,2016-09-27,54,0.299,0.36,9.0,-6.235,1.0,0.0287,0.8059999999999999,0.0,0.114,0.19,140.102,532395,['opm'],51,2016,1.0
29xs643Q96uQLD8f7SxYYw,Sa'yo,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,4xxRoePLdITFIhrzUhmOaQ,253360,2013-06-11,38,0.5670000000000001,0.0896,5.0,-12.944,1.0,0.0343,0.7959999999999999,0.0,0.218,0.3670000000000001,79.002,2263543,"['opm', 'pinoy rock']",64,2013,2.0
7sW3f7PqDV7BQ7qqeVBJIA,Migraine,2kZThDGZcHl4klYYFk0v8n,Moonstar88,0rw3b1VJPAMs9zq4ncP43K,267560,2008-04-10,58,0.662,0.546,2.0,-5.8679999999999986,1.0,0.0288,0.204,2.82e-06,0.12,0.196,115.053,740878,"['opm', 'pinoy rock', 'pop rock']",55,2008,1.0
0mqJsNkF3MRtBkRhzVskVX,We Can't Be,4qzcg58jZdJ9ujEI6Cs3Ad,Krissy,3RywI77KyROJ0ibjzOM3vF,239364,2014-01-01,0,0.516,0.31,4.0,-12.113,1.0,0.0279,0.565,0.0,0.113,0.33,128.862,14807,['opm'],38,2014,2.0
0Dljpp52vCmtXi0E94qjfo,"Maybe This Time - From ""Maybe This Time""",6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,0BGReR0ClYIme8zAabt53h,255608,2016-01-01,63,0.389,0.273,6.0,-7.697,1.0,0.0362,0.705,0.0,0.117,0.17600000000000002,134.124,2872090,['opm'],59,2016,1.0
1MkiRsYBkXbXvdiYvTTiQT,Someday,2tQbSWgZLIB8MXMnsXVRro,Nina,1yx0lKqG8Z1J3IOxx4gbzs,214773,2006-08-23,65,0.556,0.212,6.0,-11.197,1.0,0.0406,0.941,0.0,0.0982,0.514,133.392,535196,"['dance pop', 'opm']",58,2006,3.0
6xQs6y6CpDqK9VKCktApEL,Hiling,2JEIN1g27pZdm3hKB9EwE5,Mark Carpio,6E5TwOXhw6KyhX4P0p9vdK,235009,2015-01-15,60,0.58,0.244,4.0,-9.917,1.0,0.0361,0.8079999999999999,0.0,0.092,0.385,82.12100000000002,141722,['opm'],53,2015,2.0
6C2nrsOlb3jOUGcJAmPrTA,Tell Me Where It Hurts,5elcNQkZ6FCZA3grSOMngY,MYMP,6bfrwiC19nEjAwGN98un6f,253013,2005-03-10,38,0.726,0.542,7.0,-7.952000000000001,1.0,0.042,0.7020000000000001,0.0,0.0962,0.396,89.583,797786,['opm'],62,2005,2.0
08WPvDEsHvTFuB9w8tC2OS,Now and Later,6d47Z08T4snK50HgTEHo5Z,Sage The Gemini,6OnHUnhxRIZ4FB7ce9wF39,193181,2017-07-21,58,0.7809999999999999,0.57,11.0,-5.874,0.0,0.188,0.273,0.0,0.196,0.858,107.059,780053,"['dance pop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap']",68,2017,4.0
0hNduWmlWmEmuwEFcYvRu1,Sunset Lover,6gK1Uct5FEdaUWRWpU4Cl2,Petit Biscuit,4Ky2PpWb26OxNabAMffyBw,237792,2015,74,0.7829999999999999,0.467,6.0,-9.474,1.0,0.0503,0.7290000000000001,0.809,0.109,0.236,90.838,894308,"['new french touch', 'tropical house']",69,2015,2.0
3VcVQmMivq2ISfKUmIuvMK,Rainbow,6ZgBJRjJsK1iOJGKGZxEUv,South Border,6bMej3xtNOTiiHLdhR4wzX,347120,2005-01-01,65,0.66,0.224,5.0,-13.425999999999998,1.0,0.0307,0.425,2.02e-06,0.101,0.382,88.01100000000002,759198,['opm'],59,2005,2.0
